Title,Song,Rating,Category-1,Category-2,Release year
Friends,I'll be there for you,8.9,Comedy,Romance,1994
Stranger Things,Stranger things theme,8.8,Drama,Fantasy,2016
Game of Thrones,Game of Thrones theme,9.3,Action,Drama,2011
Walking dead,Walking dead theme,8.2,Drama,Horror,2010
Gilmore girls,Where you lead,8.1,Comedy,Drama,2000
Lucifer,They call me devil,8.2,Crime,Drama,2016
Money heist,Bella ciao,8.4,Action,Crime,2017
Suits,Greenback boogie,8.5,Comedy,Drama,2011
Supernatural,Highway to hell,8.4,Fantasy,Horror,2005
Locke and key,You should see me in a crown,7.4,Drama,Horror,2020
The office,Theme song,8.9,Comedy,,2005
Brooklyn nine nine,Theme song,8.4,Comedy,Crime,2013
How I met your mother,Hey beautiful,8.3,Comedy,Romance,2005
The crown,Main title theme,8.7,Drama,History,2016
The mandalorian,Main theme,8.7,Action ,Sci-Fi,2019
Grey's anatomy,Chasing cars,7.6,Drama,Romance,2005
American horror story,Tonight you belong to me,8,Drama ,Horror,2011
Star trek discovery,Time traveller,7.3,Action,Drama,2017
This is us,I won't give up,8.7,Comedy,Drama,2016
Peaky blinders,Red right hand,8.8,Crime,Drama,2013
Scam 1992,Cobra killer,9.5,Crime,Drama,2020
Breaking bad,Main title theme,9.5,Crime,Drama,2008
The fresh prince of bel air,The fresh prince of bel air,7.9,Comedy,,1990
Dexter,Theme track,8.6,Crime,Drama,2006
The 100,Radioactive,7.6,Drama,Sci-Fi,2014
Emily in paris,La vie en rose,7.1,Comedy,Drama,2020
The big bang theory,eye of the tiger,8.1,Comedy,Romance,2007
Riverdale ,Thunder,6.9,Crime,Drama,2017
The good doctor,Angel by the wings,8.2,Drama,,2017
New girl,22,7.7,Comedy,,2011
